x1,x2,x3,Class
0.694, 0.616, 0.575,sig
1.25, -2.39, 0.837,bkg
0.548, -0.275, 1.39,sig
-1.38, -0.00783, 0.554,bkg
-1.09, 2.29, 1.76,sig
-2.4, 1.54, 0.572,bkg
1.13, 0.141, 1.78,sig
-0.465, -0.608, 1.89,bkg
0.683, 0.618, 0.198,sig
-1.5, -0.418, 1.97,bkg
1.73, -1.39, 1.41,sig
-1.72, 0.888, 0.14,bkg
0.392, 0.319, 1.19,sig
-1.23, 0.0212, 0.519,bkg
1.53, -0.885, 1.24,sig
-0.866, -0.19, 0.773,bkg
1.7, -0.289, 1.44,sig
-0.178, -0.158, 0.144,bkg
-0.31, 1.39, 0.349,sig
-2.15, 0.435, 0.657,bkg
0.255, 1.07, 0.974,sig
-1.99, 1.47, 1.09,bkg
0.978, -0.205, 1.6,sig
-0.102, -0.651, 1.79,bkg
-0.0405, 1.5, 0.519,sig
-0.684, -1.29, 0.189,bkg
1.9, -0.252, 1.75,sig
-2.38, 1.09, 0.444,bkg
1.85, -0.208, 1.42,sig
-1.21, 0.466, 0.759,bkg
0.119, 0.439, 0.469,sig
-0.6, -0.556, 1.17,bkg
2.39, -0.446, 1.32,sig
-0.857, -0.208, 1.02,bkg
2.01, -1.11, 1.45,sig
-3.55, 3.31, 0.311,bkg
0.817, 0.0581, 0.218,sig
0.0278, -0.452, 1.12,bkg
-0.723, 2.03, 1.85,sig
-1.74, -0.132, 0.508,bkg
0.379, 1.22, 1.18,sig
-0.161, -1.38, 1.92,bkg
2.72, -1.11, 0.573,sig
-2.06, 0.731, 1.55,bkg
2.2, -1.64, 0.0868,sig
-2.21, 0.418, 1.41,bkg
0.337, 0.359, 1.61,sig
-1.78, 0.706, 1.16,bkg
1.62, -0.532, 0.657,sig
-0.814, -0.406, 0.432,bkg
-0.616, 1.92, 1.65,sig
-0.526, -1.78, 1.34,bkg
0.593, -0.386, 0.821,sig
-1.34, -0.179, 0.611,bkg
0.112, 2.04, 1.65,sig
-1.88, 0.622, 1.98,bkg
0.832, 0.359, 0.695,sig
-2.37, 0.825, 1.26,bkg
0.496, 1.49, 1.76,sig
0.81, -2.55, 1.12,bkg
1.45, -0.426, 0.131,sig
0.306, -1.69, 0.0396,bkg
0.362, 0.73, 0.146,sig
0.232, -1.45, 0.174,bkg
1.08, -0.169, 1.45,sig
-1.0, 0.384, 0.251,bkg
0.824, 0.737, 0.103,sig
-0.341, -2.13, 1.95,bkg
0.532, 0.78, 1.0,sig
-0.871, -1.07, 1.18,bkg
0.867, -0.156, 0.0132,sig
-0.512, -1.58, 1.71,bkg
0.459, 0.582, 1.03,sig
0.0861, -1.52, 0.73,bkg
0.269, 1.18, 1.76,sig
-0.366, -1.85, 0.562,bkg
1.14, -0.315, 1.27,sig
-0.499, -0.291, 0.0953,bkg
1.14, 0.507, 1.46,sig
-1.98, 0.557, 0.408,bkg
1.27, -0.126, 0.672,sig
-1.6, -0.146, 0.69,bkg
1.48, 0.395, 1.41,sig
0.43, -0.627, 1.85,bkg
1.74, -0.302, 0.788,sig
-1.29, -0.0984, 1.52,bkg
0.707, 0.52, 0.656,sig
-1.2, 0.181, 0.532,bkg
2.74, -0.28, 1.03,sig
0.456, -2.31, 1.64,bkg
0.744, 0.755, 1.39,sig
-0.82, -0.537, 1.34,bkg
1.33, 0.265, 0.893,sig
-1.61, 1.25, 0.563,bkg
-0.668, 1.57, 1.35,sig
-1.64, 0.828, 1.79,bkg
-0.00243, 0.317, 1.8,sig
-2.16, 0.418, 1.0,bkg
1.26, -0.444, 0.377,sig
-0.0483, -1.48, 1.84,bkg
1.25, 0.214, 1.52,sig
-0.25, -0.674, 1.23,bkg
1.22, 0.564, 0.269,sig
0.734, -1.67, 0.235,bkg
0.92, 0.185, 0.0385,sig
-0.738, 0.267, 0.399,bkg
0.161, 1.41, 0.395,sig
-1.17, 0.0124, 0.766,bkg
0.907, 0.0798, 1.37,sig
-1.37, -0.412, 0.139,bkg
2.09, -0.555, 1.6,sig
0.257, -1.52, 1.34,bkg
1.38, 0.542, 1.59,sig
-1.43, 0.614, 1.24,bkg
1.19, 0.388, 0.854,sig
-1.81, 0.517, 0.563,bkg
2.92, -1.14, 0.156,sig
-1.76, 0.558, 1.66,bkg
1.16, -0.77, 0.256,sig
-0.994, -0.105, 0.863,bkg
