x1,x2,x3,Class
2.3, -2.93, -0.818,0
-4.84, 2.74, -2.13,1
-1.84, 2.5, 1.21,0
0.0804, -0.0248, 0.568,1
-0.875, 2.36, -0.643,0
-1.93, 0.747, -0.00784,1
1.47, -0.576, 0.989,0
-3.17, 1.67, -0.532,1
4.33, -3.08, 1.39,0
-1.08, -0.714, -0.379,1
-1.31, 0.841, 0.908,0
1.74, -2.76, 0.724,1
-0.743, -0.297, 0.903,0
-6.25, 4.64, 0.659,1
3.18, -3.76, -1.24,0
2.38, -3.19, 1.87,1
1.61, -2.36, -1.54,0
2.27, -3.14, 1.63,1
-2.09, -0.11, 0.619,0
-7.93, 6.47, -0.283,1
4.25, -3.81, -0.321,0
0.718, 0.289, 1.51,1
-1.33, 2.5, 1.44,0
0.414, 2.51, -0.187,1
0.154, 3.14, 0.19,0
-4.09, 5.5, 0.185,1
-1.76, 4.85, -1.25,0
-1.86, -0.525, 0.191,1
2.31, 0.544, -2.8,0
-1.08, 2.81, 0.292,1
3.25, -3.05, -0.727,0
-0.348, -1.67, 0.321,1
0.876, -2.41, -1.15,0
-0.604, -1.83, -0.907,1
2.02, -4.27, -0.372,0
0.605, -3.88, -0.172,1
4.78, -6.21, -0.655,0
0.0968, 1.13, 0.173,1
0.0586, 1.74, 0.0103,0
0.887, 3.05, 0.836,1
-2.02, 2.8, -0.806,0
0.313, -0.335, 0.142,1
2.57, -1.11, -0.8,0
-2.65, 1.51, 1.72,1
-0.41, 2.32, 0.621,0
-5.93, 7.56, 1.65,1
-1.16, -1.69, 1.1,0
-0.518, -0.601, 1.58,1
3.42, -3.9, 1.84,0
-0.918, -2.3, 2.13,1
1.91, -4.3, 0.063,0
-2.5, 3.98, -0.607,1
-0.13, -0.797, 0.0996,0
-3.41, 2.5, 0.0126,1
2.31, -2.74, 0.207,0
-2.2, 2.86, -0.592,1
0.305, -1.83, -0.383,0
1.15, -6.09, 2.32,1
2.83, -1.25, -0.313,0
-1.58, -0.00891, -0.423,1
0.0715, -0.511, -0.0201,0
0.846, -1.05, 0.0739,1
-1.04, 3.48, -0.644,0
0.46, -1.92, 0.231,1
6.13, -5.58, -0.708,0
1.38, -0.696, 1.63,1
-0.988, 4.36, -0.413,0
-0.385, 0.491, -0.14,1
-2.88, 2.74, -1.46,0
0.483, -1.04, 0.853,1
3.6, -1.06, 0.611,0
-4.1, 5.39, 0.636,1
1.93, -2.02, 0.731,0
-0.198, -1.66, -0.345,1
-0.339, 1.49, 0.377,0
0.0649, -2.51, 0.344,1
0.136, 2.55, -0.686,0
-0.281, 1.68, -0.699,1
-0.832, 2.43, 0.0174,0
-0.744, 1.83, -0.343,1
0.00392, -2.37, 0.636,0
-0.558, -2.17, 0.107,1
0.164, 4.02, 1.9,0
-1.09, -0.106, 0.372,1
0.912, -0.226, 0.0653,0
-1.55, -0.234, -0.537,1
1.09, 0.453, -2.25,0
-1.26, 0.805, 1.81,1
0.426, -1.72, -1.47,0
1.4, -4.89, 0.136,1
1.81, 1.49, 0.302,0
-2.52, 2.8, 0.931,1
1.6, 1.95, 0.533,0
-0.469, 1.95, 0.291,1
1.51, -0.291, -0.844,0
-1.65, -3.96, 0.473,1
1.67, -1.64, 0.554,0
-1.42, -0.379, 1.6,1
-2.46, 0.932, -0.206,0
1.23, -3.96, 0.624,1
-1.39, 4.76, -1.31,0
