x	y	x	y	x	y	x	y	
12.67	11.37	6.31	3.88	7.67	6.07	11.76	4.55	
7.15	8.75	13.62	7.57	4.23	11.34	9.28	3.76	
13.65	14.74	12.15	13.53	4.65	10.95	13.48	10.26	
7.08	1.51	6.51	9.16	13.70	14.50	7.16	12.98	
3.91	12.08	8.23	0.21	10.80	5.98	12.37	10.02	
0.02	7.40	13.01	3.66	4.88	13.06	2.87	8.51	
3.58	14.51	12.05	6.72	1.21	4.80	7.62	13.99	
1.64	8.27	10.60	8.21	12.22	8.10	14.46	9.05	
8.81	6.67	8.94	5.77	8.63	4.35	2.84	2.80	
9.19	9.85	7.15	1.35	11.36	13.15	13.85	12.64	
13.47	13.85	8.11	5.87	10.58	4.13	12.17	12.74	
